scale,field,tech_type,year,revenue
전체,적응,농업&축산,2021,3911818.0
전체,적응,물관리,2021,11071516.0
전체,적응,예측･모니터링,2021,397990.0
전체,적응,해양수산연안,2021,41380.0
전체,적응,건강,2021,1982099.0
전체,적응,산림육상,2021,345634.0
전체,융복합,감축 및 적응 융복합,2021,2027564.0
1,감축,비재생에너지,2021,187200.0
1,감축,재생에너지,2021,2150299.0
1,감축,신에너지,2021,481044.0
1,감축,에너지저장,2021,414204.0
1,감축,송배전&전력IT,2021,911955.0
1,감축,에너지수요,2021,2081242.0
1,감축,온실가스 고정,2021,104933.0
1,적응,농업&축산,2021,342996.0
1,적응,물관리,2021,1068979.0
1,적응,예측･모니터링,2021,34744.0
1,적응,해양수산연안,2021,12148.0
1,적응,건강,2021,64745.0
1,적응,산림육상,2021,61911.0
1,융복합,감축 및 적응 융복합,2021,168385.0
2,감축,비재생에너지,2021,138344.0
2,감축,재생에너지,2021,2062003.0
2,감축,신에너지,2021,352361.0
2,감축,에너지저장,2021,583126.0
2,감축,송배전&전력IT,2021,802056.0
2,감축,에너지수요,2021,4106257.0
2,감축,온실가스 고정,2021,127756.0
2,적응,농업&축산,2021,287245.0
2,적응,물관리,2021,1213058.0
2,적응,예측･모니터링,2021,74214.0
2,적응,해양수산연안,2021,16806.0
2,적응,건강,2021,290702.0
2,적응,산림육상,2021,86367.0
2,융복합,감축 및 적응 융복합,2021,148352.0
3,감축,비재생에너지,2021,100857.0
3,감축,재생에너지,2021,2125838.0
3,감축,신에너지,2021,391735.0
3,감축,에너지저장,2021,859273.0
3,감축,송배전&전력IT,2021,612850.0
3,감축,에너지수요,2021,1605103.0
3,감축,온실가스 고정,2021,27721.0
3,적응,농업&축산,2021,91158.0
3,적응,물관리,2021,512155.0
3,적응,예측･모니터링,2021,26220.0
3,적응,해양수산연안,2021,2000.0
3,적응,건강,2021,0.0
3,적응,산림육상,2021,4217.0
3,융복합,감축 및 적응 융복합,2021,193803.0
4,감축,비재생에너지,2021,157481.0
4,감축,재생에너지,2021,1448527.0
4,감축,신에너지,2021,147164.0
4,감축,에너지저장,2021,634393.0
4,감축,송배전&전력IT,2021,1375359.0
4,감축,에너지수요,2021,10252391.0
4,감축,온실가스 고정,2021,120803.0
4,적응,농업&축산,2021,228482.0
4,적응,물관리,2021,542985.0
4,적응,예측･모니터링,2021,0.0
4,적응,해양수산연안,2021,9337.0
4,적응,건강,2021,133218.0
4,적응,산림육상,2021,121140.0
4,융복합,감축 및 적응 융복합,2021,316348.0
5,감축,비재생에너지,2021,3819185.0
5,감축,재생에너지,2021,12565082.0
5,감축,신에너지,2021,10884602.0
5,감축,에너지저장,2021,40501459.0
5,감축,송배전&전력IT,2021,18218236.0
5,감축,에너지수요,2021,46642682.0
5,감축,온실가스 고정,2021,8236189.0
5,적응,농업&축산,2021,2722050.0
5,적응,물관리,2021,7646503.0
5,적응,건강,2021,518319.0
5,융복합,감축 및 적응 융복합,2021,1154252.0
6,감축,비재생에너지,2021,2953543.0
6,감축,재생에너지,2021,584908.0
6,감축,신에너지,2021,7042.0
6,감축,에너지저장,2021,211198.0
6,감축,송배전&전력IT,2021,347894.0
6,감축,에너지수요,2021,1249672.0
6,감축,온실가스 고정,2021,3118.0
6,적응,농업&축산,2021,239887.0
6,적응,물관리,2021,87836.0
6,적응,예측･모니터링,2021,262813.0
6,적응,해양수산연안,2021,1089.0
6,적응,건강,2021,975115.0
6,적응,산림육상,2021,72000.0
6,융복합,감축 및 적응 융복합,2021,46424.0
