scale,field,tech_type,year,revenue,rd_cost,researchers,employees
2,감축,에너지저장,2020,652848.0,53476.0,426.0,901.0
2,감축,송배전&전력IT,2020,760353.0,80978.0,554.0,4336.0
2,감축,에너지수요,2020,4212422.0,233190.0,2622.0,9892.0
2,감축,온실가스 고정,2020,47848.0,1692.0,9.0,112.0
2,적응,농업&축산,2020,182436.0,4242.0,103.0,474.0
2,적응,물관리,2020,1162961.0,25282.0,926.0,3081.0
2,적응,예측･모니터링,2020,5781.0,0.0,1.0,6.0
2,적응,해양수산연안,2020,12061.0,13.0,3.0,41.0
2,적응,건강,2020,202122.0,32098.0,150.0,419.0
2,적응,산림육상,2020,18339.0,200.0,17.0,166.0
2,융복합,감축 및 적응 융복합,2020,120015.0,9814.0,87.0,280.0
3,감축,비재생에너지,2020,20708.0,4798.0,10.0,98.0
3,감축,재생에너지,2020,2218334.0,50559.0,798.0,3752.0
3,감축,신에너지,2020,322581.0,21214.0,115.0,717.0
3,감축,에너지저장,2020,936370.0,30199.0,282.0,700.0
3,감축,송배전&전력IT,2020,750664.0,61065.0,279.0,2139.0
3,감축,에너지수요,2020,1477372.0,49613.0,796.0,2650.0
3,적응,농업&축산,2020,135205.0,2402.0,40.0,87.0
3,적응,물관리,2020,464110.0,13795.0,226.0,909.0
3,적응,해양수산연안,2020,22389.0,100.0,8.0,43.0
3,적응,건강,2020,94732.0,50.0,31.0,181.0
3,융복합,감축 및 적응 융복합,2020,158478.0,1500.0,34.0,169.0
4,감축,비재생에너지,2020,120061.0,12000.0,8.0,20.0
4,감축,재생에너지,2020,1500651.0,33633.0,335.0,2036.0
4,감축,신에너지,2020,142135.0,17040.0,39.0,242.0
4,감축,에너지저장,2020,604347.0,11620.0,363.0,1201.0
4,감축,송배전&전력IT,2020,1387672.0,167568.0,713.0,2075.0
4,감축,에너지수요,2020,3973328.0,141166.0,1698.0,6066.0
4,감축,온실가스 고정,2020,21217.0,2234.0,6.0,23.0
4,적응,농업&축산,2020,95554.0,1663.0,101.0,423.0
4,적응,물관리,2020,500916.0,2098.0,253.0,1502.0
4,적응,건강,2020,22253.0,0.0,2.0,20.0
4,융복합,감축 및 적응 융복합,2020,346388.0,259.0,81.0,425.0
5,감축,비재생에너지,2020,438019.0,2925.0,556.0,1248.0
5,감축,재생에너지,2020,11912757.0,373431.0,3674.0,11513.0
5,감축,신에너지,2020,10500674.0,96145.0,1208.0,3719.0
5,감축,에너지저장,2020,40476074.0,1653836.0,8097.0,17734.0
5,감축,송배전&전력IT,2020,4321620.0,80868.0,516.0,3847.0
5,감축,에너지수요,2020,46329587.0,834127.0,12125.0,35902.0
