scale,field,tech_type,year,researchers
1,감축,에너지저장,2021,579.0
1,감축,송배전&전력IT,2021,1388.0
1,감축,에너지수요,2021,3076.0
1,감축,온실가스 고정,2021,116.0
1,적응,농업&축산,2021,1014.0
1,적응,물관리,2021,1232.0
1,적응,예측･모니터링,2021,270.0
1,적응,해양수산연안,2021,29.0
1,적응,건강,2021,584.0
1,적응,산림육상,2021,61.0
1,융복합,감축 및 적응 융복합,2021,773.0
2,감축,비재생에너지,2021,16.0
2,감축,재생에너지,2021,1460.0
2,감축,신에너지,2021,366.0
2,감축,에너지저장,2021,754.0
2,감축,송배전&전력IT,2021,1372.0
2,감축,에너지수요,2021,2816.0
2,감축,온실가스 고정,2021,27.0
2,적응,농업&축산,2021,548.0
2,적응,물관리,2021,1629.0
2,적응,예측･모니터링,2021,12.0
2,적응,해양수산연안,2021,73.0
2,적응,건강,2021,631.0
2,적응,산림육상,2021,76.0
2,융복합,감축 및 적응 융복합,2021,211.0
3,감축,비재생에너지,2021,164.0
3,감축,재생에너지,2021,613.0
3,감축,신에너지,2021,93.0
3,감축,에너지저장,2021,169.0
3,감축,송배전&전력IT,2021,331.0
3,감축,에너지수요,2021,846.0
3,감축,온실가스 고정,2021,4.0
3,적응,농업&축산,2021,94.0
3,적응,물관리,2021,794.0
3,적응,예측･모니터링,2021,92.0
3,적응,해양수산연안,2021,0.0
3,적응,건강,2021,164.0
3,적응,산림육상,2021,12.0
3,융복합,감축 및 적응 융복합,2021,101.0
4,감축,비재생에너지,2021,7.0
4,감축,재생에너지,2021,1001.0
4,감축,신에너지,2021,44.0
4,감축,에너지저장,2021,262.0
4,감축,송배전&전력IT,2021,728.0
4,감축,에너지수요,2021,2221.0
4,감축,온실가스 고정,2021,508.0
4,적응,농업&축산,2021,96.0
4,적응,물관리,2021,777.0
4,적응,예측･모니터링,2021,810.0
4,적응,해양수산연안,2021,8.0
4,적응,건강,2021,97.0
4,적응,산림육상,2021,176.0
4,융복합,감축 및 적응 융복합,2021,34.0
5,감축,비재생에너지,2021,569.0
5,감축,재생에너지,2021,4291.0
5,감축,신에너지,2021,1115.0
5,감축,에너지저장,2021,8191.0
5,감축,송배전&전력IT,2021,671.0
5,감축,에너지수요,2021,12036.0
5,감축,온실가스 고정,2021,917.0
5,적응,농업&축산,2021,423.0
5,적응,물관리,2021,1911.0
5,적응,건강,2021,96.0
5,융복합,감축 및 적응 융복합,2021,428.0
6,감축,비재생에너지,2021,3388.0
6,감축,재생에너지,2021,1327.0
6,감축,신에너지,2021,85.0
6,감축,에너지저장,2021,1138.0
